Player,Maps,Rounds,K-D Diff,K/D,Rating
ZywOo,1352,35055,+8268,1.39,1.27
s1mple,1727,45750,+9669,1.33,1.24
sh1ro,1199,31278,+7345,1.44,1.22
donk,478,11813,+1985,1.25,1.22
m0NESY,611,15234,+2876,1.32,1.19
deko,948,24153,+4800,1.34,1.19
smooya,1150,29665,+4981,1.27,1.18
w0nderful,568,14291,+2672,1.32,1.17
degster,895,23699,+4104,1.29,1.17
sterling,967,24789,+4347,1.29,1.16
kaze,1147,29258,+4983,1.29,1.16
XANTARES,2190,57166,+7655,1.20,1.16
nettik,508,12375,+1824,1.23,1.16
SENSEi,623,16671,+3187,1.35,1.16
DANK1NG,457,12106,+1897,1.25,1.16
device,2086,53881,+8252,1.25,1.16
blameF,1247,32764,+5227,1.26,1.15
try,577,14973,+2383,1.27,1.15
NiKo,1976,51657,+6480,1.19,1.15
regali,456,12302,+1822,1.24,1.15
Benkai,603,15560,+2046,1.20,1.14
ArtFr0st,523,12855,+2243,1.32,1.14
BnTeT,1129,29312,+3855,1.21,1.14
JamYoung,638,16006,+2092,1.21,1.14
KSCERATO,1237,31477,+4753,1.26,1.14
saffee,805,20062,+2803,1.23,1.13
torzsi,804,20562,+2875,1.23,1.13
Woro2k,923,23755,+3157,1.21,1.13
Texta,667,16629,+1773,1.16,1.13
mhL,862,22828,+2951,1.20,1.13
Jame,1540,39935,+6548,1.30,1.13
XigN,859,22116,+2514,1.17,1.12
frozen,1571,40297,+4694,1.18,1.12
oskar,2133,54747,+6758,1.20,1.12
coldzera,1835,47082,+6064,1.21,1.12
Jimpphat,576,14648,+1840,1.21,1.12
INS,1245,30852,+3414,1.17,1.12
liTTle,458,12159,+1550,1.20,1.12
kennyS,1991,52684,+6521,1.20,1.12
h4rn,928,24598,+3417,1.23,1.12
dgt,817,20704,+2760,1.22,1.12
junior,896,22202,+3157,1.24,1.12
ropz,1528,39686,+4991,1.21,1.12
Jamppi,503,13449,+1408,1.16,1.12
wrath,525,13568,+1239,1.13,1.12
El1an,1475,39182,+4992,1.21,1.12
headtr1ck,546,13326,+1764,1.22,1.11
Freeman,852,21767,+2366,1.17,1.11
zevy,757,18713,+2320,1.20,1.11
Sico,1048,26546,+3585,1.23,1.11
SunPayus,678,17365,+2262,1.22,1.11
mantuu,991,25509,+3107,1.20,1.11
PTC,476,12393,+1408,1.18,1.11
sk0R,493,13119,+1282,1.14,1.11
woxic,1503,38833,+4723,1.20,1.11
nawwk,1469,38257,+5121,1.23,1.11
GuardiaN,1604,42016,+4799,1.18,1.11
splashske,733,18884,+1775,1.14,1.11
r1nkle,558,14007,+1526,1.17,1.11
XELLOW,1642,42357,+4262,1.15,1.11
FREDDyFROG,1208,32176,+3606,1.18,1.11
dream3r,1429,37499,+4501,1.20,1.11
huNter-,1818,47167,+4542,1.15,1.11
Twistzz,1782,46009,+4833,1.17,1.10
nqz,695,16773,+2249,1.23,1.10
HEN1,1648,41460,+5584,1.24,1.10
xsepower,1399,37464,+4862,1.22,1.10
forsyy,822,20521,+2511,1.21,1.10
f0rest,2112,54926,+5648,1.16,1.10
Olivia,639,16294,+1549,1.14,1.10
mertz,990,26255,+2655,1.16,1.10
WARDELL,609,15901,+1648,1.17,1.10
erkaSt,964,25074,+2329,1.14,1.10
zorte,1293,33301,+4020,1.20,1.10
yuurih,1330,33974,+3532,1.16,1.10
kNgV-,1036,27069,+2658,1.15,1.10
poizon,1141,30143,+2855,1.15,1.10
MATYS,710,18056,+1146,1.09,1.10
decenty,592,14219,+1508,1.17,1.10
dumau,868,21967,+2299,1.17,1.10
allu,1963,51303,+5245,1.16,1.10
hades,1143,29756,+3347,1.18,1.10
oSee,1493,37940,+4244,1.18,1.10
moose,752,19559,+1975,1.16,1.10
xccurate,698,18113,+1724,1.15,1.09
mixwell,840,21804,+1911,1.13,1.09
dav1deuS,825,20353,+1582,1.11,1.09
ekul,460,11891,+967,1.12,1.09
PwnAlone,1205,30873,+3041,1.16,1.09
Brehze,1465,37172,+3129,1.13,1.09
swag,576,14852,+1597,1.17,1.09
NertZ,630,15899,+1223,1.11,1.09
insani,546,13305,+1108,1.13,1.09
Vexite,638,15527,+1184,1.11,1.09
z4kr,558,14190,+1293,1.14,1.09
JUGi,940,24427,+2676,1.18,1.09
CeRq,1380,35405,+3612,1.16,1.09
sl3nd,528,13046,+1548,1.20,1.09
syrsoN,2002,52540,+5197,1.16,1.09
chelleos,789,19594,+1600,1.12,1.09
Sonic,1224,30504,+2731,1.14,1.09
Spinx,769,19850,+1870,1.15,1.09
Ax1Le,1280,33371,+3103,1.15,1.09
GeT_RiGhT,1761,45379,+4236,1.14,1.09
ryx,491,12856,+1181,1.14,1.09
zehN,1181,31389,+2620,1.13,1.09
ScreaM,1428,37066,+3099,1.13,1.09
mir,1224,31844,+2819,1.13,1.09
slaxz-,1477,38819,+4001,1.17,1.09
BL1TZ,740,19035,+1601,1.13,1.09
NAF,1923,49917,+4910,1.16,1.09
nex,1074,28389,+2435,1.13,1.09
vsm,876,22607,+1805,1.12,1.09
BOROS,666,17590,+815,1.06,1.08
nilo,752,18761,+1469,1.12,1.08
nicoodoz,1221,31508,+3069,1.16,1.08
nukkye,592,15492,+1330,1.13,1.08
togs,570,13594,+1291,1.15,1.08
