gameid,side,position,playername,playerid,teamname,teamid,image_url,stat_type,odds_type,line_score
3182510,Blue,TOP,369,58614,TES,6992,https://static.prizepicks.com/images/manual/eYLe5wa.png,MAPS 1-3 Kills,standard,8
3182511,Blue,JNG,Tian,40918,TES,6992,https://static.prizepicks.com/images/manual/eYLe5wa.png,MAPS 1-3 Kills,standard,7
3182512,Blue,MID,Creme,40783,TES,6992,https://static.prizepicks.com/images/manual/eYLe5wa.png,MAPS 1-3 Kills,standard,11
3182513,Blue,BOT,JackeyLove,21155,TES,6992,https://static.prizepicks.com/images/manual/eYLe5wa.png,MAPS 1-3 Kills,standard,12
3182514,Blue,SUP,Meiko,41508,TES,6992,https://static.prizepicks.com/images/manual/eYLe5wa.png,MAPS 1-3 Kills,standard,2
3182515,Blue,TOP,Zeus,40990,T1,7052,https://static.prizepicks.com/images/manual/T1_LoL.png,MAPS 1-3 Kills,standard,10
3182517,Blue,MID,Faker,15039,T1,7052,https://static.prizepicks.com/images/manual/T1_LoL.png,MAPS 1-3 Kills,standard,11
3182518,Blue,BOT,Gumayusi,40994,T1,7052,https://static.prizepicks.com/images/manual/T1_LoL.png,MAPS 1-3 Kills,standard,11
3182519,Blue,SUP,Keria,28289,T1,7052,https://static.prizepicks.com/images/manual/T1_LoL.png,MAPS 1-3 Kills,standard,2.5
3182520,Blue,TOP,Bwipo,21116,FLY,8124,https://static.prizepicks.com/images/manual/FlyQuest_LoL.png,MAPS 1-3 Kills,standard,6
3182521,Blue,JNG,Inspired,40686,FLY,8124,https://static.prizepicks.com/images/manual/FlyQuest_LoL.png,MAPS 1-3 Kills,standard,4.5
3182522,Blue,MID,Quad,199715,FLY,8124,https://static.prizepicks.com/images/manual/FlyQuest_LoL.png,MAPS 1-3 Kills,standard,8.5
3182523,Blue,BOT,Massu,95512,FLY,8124,https://static.prizepicks.com/images/manual/FlyQuest_LoL.png,MAPS 1-3 Kills,standard,7.5
3182524,Blue,SUP,Busio,95409,FLY,8124,https://static.prizepicks.com/images/manual/FlyQuest_LoL.png,MAPS 1-3 Kills,standard,2
3182525,Blue,TOP,Kiin,15037,GEN,7050,https://static.prizepicks.com/images/manual/NAN45TC.png,MAPS 1-3 Kills,standard,9
3182526,Blue,JNG,Canyon,21084,GEN,7050,https://static.prizepicks.com/images/manual/NAN45TC.png,MAPS 1-3 Kills,standard,8
3182527,Blue,MID,Chovy,37752,GEN,7050,https://static.prizepicks.com/images/manual/NAN45TC.png,MAPS 1-3 Kills,standard,15.5
